Year,Sector,Industry,Value
2012,,Other Wholesale Trade,28.0
2012,,Retail Trade,2.6
2012,,Transport,33.5
2012,,Accommodation and Food Services,4.4
2012,,Information and Communication,-8.6
2012,,Finance and Insurance,2.8
2012,,Real Estate,9.1
2012,,"Professional, Scientifc, Technical, Admin/Services",-20.1
2012,,Government Services,-0.3
2012,,"Education, Health, Recreation, and Other Services",-2.4
2013,,,0.5
2013,"Agriculture, Fishing and Forestry",,1.4
2013,Industry,,8.4
2013,Services,,-0.9
2013,Plus Taxes less Subsidies on Products,,2.9
2013,Less imputed Bank Service Charge,,2.0
2013,,Crop Production,0.9
2013,,Animal Production,0.9
2013,,Forestry,7.0
2013,,Fishing,1.0
2013,,Mining and Quarrying,-19.7
2013,,Manufacturing,-6.0
2013,,Electricity and Water Supply,1.9
2013,,Construction,39.7
2013,,"Wholesale, Retail Trade, repair of Motor vehicles",1.0
2013,,Other Wholesale Trade,-4.9
2013,,Retail Trade,0.4
2013,,Transport,-22.5
2013,,Accommodation and Food Services,3.7
2013,,Information and Communication,7.8
2013,,Finance and Insurance,5.2
2013,,Real Estate,1.8
2013,,"Professional, Scientifc, Technical, Admin/Services",-0.9
2013,,Government Services,1.7
2013,,"Education, Health, Recreation, and Other Services",-1.6
2014,,,3.1
2014,"Agriculture, Fishing and Forestry",,12.4
2014,Industry,,-5.4
2014,Services,,3.8
2014,Plus Taxes less Subsidies on Products,,-5.8
2014,Less imputed Bank Service Charge,,16.1
2014,,Crop Production,14.7
2014,,Animal Production,0.9
2014,,Forestry,7.1
2014,,Fishing,1.2
2014,,Mining and Quarrying,2.6
2014,,Manufacturing,9.9
2014,,Electricity and Water Supply,-1.6
2014,,Construction,-25.4
2014,,"Wholesale, Retail Trade, repair of Motor vehicles",-23.0
2014,,Other Wholesale Trade,12.1
2014,,Retail Trade,6.8
2014,,Transport,3.5
2014,,Accommodation and Food Services,1.3
2014,,Information and Communication,2.7
2014,,Finance and Insurance,8.0
2014,,Real Estate,2.7
2014,,"Professional, Scientifc, Technical, Admin/Services",-1.2
2014,,Government Services,1.9
2014,,"Education, Health, Recreation, and Other Services",8.9
2015,,,0.4
2015,"Agriculture, Fishing and Forestry",,-5.7
2015,Industry,,38.5
2015,Services,,-2.5
2015,Plus Taxes less Subsidies on Products,,2.5
2015,Less imputed Bank Service Charge,,-6.0
2015,,Crop Production,-7.0
2015,,Animal Production,-1.6
2015,,Forestry,0.7
2015,,Fishing,1.4
2015,,Mining and Quarrying,-22.6
2015,,Manufacturing,-16.1
2015,,Electricity and Water Supply,-2.5
2015,,Construction,172.6
2015,,"Wholesale, Retail Trade, repair of Motor vehicles",11.2
2015,,Other Wholesale Trade,-4.4
2015,,Retail Trade,0.9
2015,,Transport,-45.1
2015,,Accommodation and Food Services,-15.5
2015,,Information and Communication,13.2
2015,,Finance and Insurance,2.1
2015,,Real Estate,4.7
2015,,"Professional, Scientifc, Technical, Admin/Services",9.9
2015,,Government Services,1.6
2015,,"Education, Health, Recreation, and Other Services",1.1
2016,,,4.7
2016,"Agriculture, Fishing and Forestry",,5.9
2016,Industry,,9.4
2016,Services,,4.5
2016,Plus Taxes less Subsidies on Products,,-4.5
2016,Less imputed Bank Service Charge,,-3.2
2016,,Crop Production,6.8
2016,,Animal Production,2.6
2016,,Forestry,1.9
2016,,Fishing,1.6
2016,,Mining and Quarrying,54.5
2016,,Manufacturing,0.4
2016,,Electricity and Water Supply,11.9
2016,,Construction,12.8
2016,,"Wholesale, Retail Trade, repair of Motor vehicles",-8.2
2016,,Other Wholesale Trade,-2.4
2016,,Retail Trade,2.7
2016,,Transport,25.7
2016,,Accommodation and Food Services,1.9
2016,,Information and Communication,5.8
2016,,Finance and Insurance,9.3
2016,,Real Estate,1.2
2016,,"Professional, Scientifc, Technical, Admin/Services",22.6
2016,,Government Services,1.8
2016,,"Education, Health, Recreation, and Other Services",-8.5
2017,,,4.4
2017,"Agriculture, Fishing and Forestry",,0.4
2017,Industry,,7.1
2017,Services,,2.9
2017,Plus Taxes less Subsidies on Products,,22.3
2017,Less imputed Bank Service Charge,,8.4
2017,,Crop Production,0.4
2017,,Animal Production,-3.1
2017,,Forestry,1.5
2017,,Fishing,3.9
2017,,Mining and Quarrying,25.8
2017,,Manufacturing,2.0
2017,,Electricity and Water Supply,4.2
2017,,Construction,10.4
2017,,"Wholesale, Retail Trade, repair of Motor vehicles",2.6
2017,,Other Wholesale Trade,3.4
2017,,Retail Trade,3.4
2017,,Transport,1.8
2017,,Accommodation and Food Services,3.0
2017,,Information and Communication,13.5
2017,,Finance and Insurance,-2.8
2017,,Real Estate,1.7
2017,,"Professional, Scientifc, Technical, Admin/Services",2.6
2017,,Government Services,1.1
2017,,"Education, Health, Recreation, and Other Services",4.5
2018,,,2.9
2018,"Agriculture, Fishing and Forestry",,0.9
2018,Industry,,4.9
2018,Services,,0.8
2018,Plus Taxes less Subsidies on Products,,12.9
2018,Less imputed Bank Service Charge,,-9.1
2018,,Crop Production,0.7
2018,,Animal Production,1.9
2018,,Forestry,0.5
2018,,Fishing,4.0
2018,,Mining and Quarrying,10.0
2018,,Manufacturing,3.8
2018,,Electricity and Water Supply,0.7
2018,,Construction,6.8
2018,,"Wholesale, Retail Trade, repair of Motor vehicles",1.7
2018,,Other Wholesale Trade,1.3
2018,,Retail Trade,1.4
2018,,Transport,-10.9
2018,,Accommodation and Food Services,2.0
2018,,Information and Communication,2.5
2018,,Finance and Insurance,2.6
2018,,Real Estate,1.8
2018,,"Professional, Scientifc, Technical, Admin/Services",-1.0
2018,,Government Services,0.6
2018,,"Education, Health, Recreation, and Other Services",9.7
2019,,,3.2
2019,"Agriculture, Fishing and Forestry",,6.2
2019,Industry,,-8.3
2019,Services,,6.1
2019,Plus Taxes less Subsidies on Products,,1.5
2019,Less imputed Bank Service Charge,,29.5
2019,,Crop Production,7.0
2019,,Animal Production,5.7
2019,,Forestry,0.5
2019,,Fishing,4.1
2019,,Mining and Quarrying,7.2
2019,,Manufacturing,5.0
2019,,Electricity and Water Supply,15.4
2019,,Construction,-22.0
2019,,"Wholesale, Retail Trade, repair of Motor vehicles",10.0
2019,,Other Wholesale Trade,2.8
2019,,Retail Trade,6.2
2019,,Transport,3.2
2019,,Accommodation and Food Services,7.3
2019,,Information and Communication,9.6
2019,,Finance and Insurance,9.6
2019,,Real Estate,7.4
2019,,"Professional, Scientifc, Technical, Admin/Services",2.4
2019,,Government Services,3.3
2019,,"Education, Health, Recreation, and Other Services",3.2
2020,,,-5.0
2020,"Agriculture, Fishing and Forestry",,-2.7
2020,Industry,,4.0
2020,Services,,-6.7
2020,Plus Taxes less Subsidies on Products,,-5.6
2020,Less imputed Bank Service Charge,,-3.2
2020,,Crop Production,-3.5
2020,,Animal Production,-0.2
2020,,Forestry,0.1
2020,,Fishing,2.9
2020,,Mining and Quarrying,24.8
2020,,Manufacturing,-17.4
2020,,Electricity and Water Supply,6.2
2020,,Construction,14.6
2020,,"Wholesale, Retail Trade, repair of Motor vehicles",-1.4
2020,,Other Wholesale Trade,-7.9
2020,,Retail Trade,1.9
2020,,Transport,-53.5
2020,,Accommodation and Food Services,-56.4
2020,,Information and Communication,2.2
2020,,Finance and Insurance,-1.0
2020,,Real Estate,-9.2
2020,,"Professional, Scientifc, Technical, Admin/Services",43.6
2020,,Government Services,1.3
2020,,"Education, Health, Recreation, and Other Services",-11.5
