Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2016,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Tertiary Education & Post Schooling,Value in Millions (VT),1.02027
2016,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Training & Scholarship Coordination,Value in Millions (VT),7.760674
2016,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,"Other  Authority, Boards & Councils",Value in Millions (VT),25.0
2016,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,Teaching Services Commission,Value in Millions (VT),3.495198
2016,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,Tertiary Education & Post Schooling,Value in Millions (VT),-1.677054
2016,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,Training & Scholarship Coordination,Value in Millions (VT),-0.201114
2016,By Ministry,Actual,Ministry of Education & Training,MoE Cabinet,Cabinet Support Division,Value in Millions (VT),7.262906
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Border Control,Value in Millions (VT),8.531788
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Corporate Services,Value in Millions (VT),26.158975
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Customs and Excise Collections,Value in Millions (VT),24.468031
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Information Services,Value in Millions (VT),81.172259
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Ministry Executive & Internal Audit,Value in Millions (VT),8.959941
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Rates and Taxes Collection,Value in Millions (VT),22.414803
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,VAT Collections,Value in Millions (VT),19.115765
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Central Payments,Value in Millions (VT),2478.859422
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Chamber of Commerce and Industry (CCI),Value in Millions (VT),30.0
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Corporate Services,Value in Millions (VT),26.203984
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Economic Policy Development,Value in Millions (VT),6.369329
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Former Leaders Payment,Value in Millions (VT),4.712159
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Contributions to International Organisation,Value in Millions (VT),29.872843
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Financial Services,Value in Millions (VT),156.220421
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant SPBEA,Value in Millions (VT),98.432265
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to Vanuatu National Archives,Value in Millions (VT),10.4
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant to VIPA,Value in Millions (VT),43.668264
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grants to Institutions,Value in Millions (VT),588.9092
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Information Services,Value in Millions (VT),61.022571
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Ministry Executive & Internal Audit,Value in Millions (VT),1.766293
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Public Debt Provisions,Value in Millions (VT),2695.196511
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Rates and Taxes Collection,Value in Millions (VT),-0.000207
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Utility Regulatory Authority,Value in Millions (VT),102.226099
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agricultural Research and Training Centre (VARTC),Value in Millions (VT),39.692438
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agriculture College,Value in Millions (VT),82.800392
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Broadcasting and Television Corporation (VBTC),Value in Millions (VT),60.193316
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Cultural Centre (VCC),Value in Millions (VT),26.290633
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime Administration (VMA),Value in Millions (VT),15.0
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime College,Value in Millions (VT),41.255243
2016,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Tourism Office (VTO),Value in Millions (VT),229.98978
2016,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,Portfolio Management,Value in Millions (VT),4.713222
2016,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Corporate Services,Value in Millions (VT),48.873122
2016,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Government Financial Services,Value in Millions (VT),0.473975
2016,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Ministry Executive & Internal Audit,Value in Millions (VT),12.409914
2016,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Corporate Services,Value in Millions (VT),6.586727
2016,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Ministry Executive & Internal Audit,Value in Millions (VT),0.47539
2016,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,"National Statistical Collection, Analysis & Reporting",Value in Millions (VT),0.3467
2016,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Provincial Statistics Offices,Value in Millions (VT),21.811089
2016,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade Negotiation,Value in Millions (VT),12.191069
2016,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade Policy & Administration,Value in Millions (VT),3.759547
2016,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,Operations of the Department of Foreign Affairs,Value in Millions (VT),126.508693
2016,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,Portfolio Coordination,Value in Millions (VT),20.15411
2016,By Ministry,Actual,Ministry of Health,Department of Health,Community Health Services,Value in Millions (VT),50.940601
2016,By Ministry,Actual,Ministry of Health,Department of Health,Corporate Services,Value in Millions (VT),88.28172
2016,By Ministry,Actual,Ministry of Health,Department of Health,Health Sector Human Resource Development,Value in Millions (VT),28.305388
2016,By Ministry,Actual,Ministry of Health,Department of Health,Hospital Services,Value in Millions (VT),235.526601
2016,By Ministry,Actual,Ministry of Health,Department of Health,Medical Supplies Stock,Value in Millions (VT),209.881693
2016,By Ministry,Actual,Ministry of Health,Department of Health,Public Health Services,Value in Millions (VT),-0.332793
2016,By Ministry,Actual,Ministry of Health,Health Cabinet,Ministry Executive,Value in Millions (VT),2.502544
2016,By Ministry,Actual,Ministry of Health,Health Cabinet,Portfolio Management,Value in Millions (VT),11.60414
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Civil Aviation Authority,Civil Aviation Management and Administration Support,Value in Millions (VT),38.490287
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Department of Ports and Harbours,Ports Administration,Value in Millions (VT),79.074302
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,Development and Maintenance of Government Infrastructure,Value in Millions (VT),178.770804
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,Department of Public Works,Government Contributions to Projects,Value in Millions (VT),677.108557
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,Director General and Corporate Services,Value in Millions (VT),57.289643
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,MIPU Cabinet,Portfolio Coordination,Value in Millions (VT),6.637518
2016,By Ministry,Actual,Ministry of Internal Affairs,Civil Registry Office,Civil Registry,Value in Millions (VT),1.513558
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Immigration,Border Control,Value in Millions (VT),19.398952
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Immigration,Issue of Passports,Value in Millions (VT),9.253677
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Labour,Labour Regulation,Value in Millions (VT),20.485422
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,Administration of Regional Services,Value in Millions (VT),30.961344
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,Grants to Municipalities,Value in Millions (VT),10.0
2016,By Ministry,Actual,Ministry of Internal Affairs,Department of Provincial Affairs,Grants to Provinces,Value in Millions (VT),201.999181
2016,By Ministry,Actual,Ministry of Internal Affairs,Electoral Office,Conduct of Elections,Value in Millions (VT),-2e-06
2016,By Ministry,Actual,Ministry of Internal Affairs,Electoral Office,Electoral Services,Value in Millions (VT),10.674141
2016,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,Conduct of Elections,Value in Millions (VT),4.98481
2016,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,Corporate Services,Value in Millions (VT),74.116458
2016,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,Crime Prevention,Value in Millions (VT),0.5
2016,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,Independence Celebration,Value in Millions (VT),7.61625
2016,By Ministry,Actual,Ministry of Internal Affairs,Internal Affairs Cabinet,Portfolio Management,Value in Millions (VT),11.073438
2016,By Ministry,Actual,Ministry of Internal Affairs,Police Service Commission,Police Service Commission,Value in Millions (VT),0.905589
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Mobile Force,Vanuatu Mobile Force,Value in Millions (VT),15.959109
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,Joint Command and Control,Value in Millions (VT),33.535241
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,Police District Central,Value in Millions (VT),2.590072
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,Police District Northern,Value in Millions (VT),5.471403
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,Police District Southern,Value in Millions (VT),13.61676
2016,By Ministry,Actual,Ministry of Internal Affairs,Vanuatu Police Force,Police Maritime Wing,Value in Millions (VT),7.544124
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Correctional Services,Correctional Services,Value in Millions (VT),57.828195
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Customary land management Office,Lands Tribunal Office,Value in Millions (VT),8.321298
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Department of Womens Affairs,Womenâ€™s Affairs,Value in Millions (VT),14.788854
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Ministry of Justice & Social Welfare Corporate Service Unit,Corporate Services,Value in Millions (VT),19.178444
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,Corporate Services,Value in Millions (VT),0.038743
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Ministry of Justice and Community Service,Portfolio Management,Value in Millions (VT),9.655251
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,Vanuatu Law Commission,Law Commission,Value in Millions (VT),4.358611
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Cabinet Operations,Portfolio Coordination,Value in Millions (VT),2.932245
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Corporate Services,Value in Millions (VT),36.369477
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Executive Management,Value in Millions (VT),1.296317
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Land Survey,Value in Millions (VT),0.243767
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Land Use Planning,Value in Millions (VT),0.160039
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Lease Management,Value in Millions (VT),0.143616
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Water Resource Management,Value in Millions (VT),0.243419
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Corporate Services,Water Resources,Value in Millions (VT),0.271689
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,Mines and Minerals,Value in Millions (VT),11.268446
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,Water Resource Management,Value in Millions (VT),17.22399
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Geology and Mines,Water Resources,Value in Millions (VT),7.791114
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,Land Registry,Value in Millions (VT),3.249903
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Records,Lease Management,Value in Millions (VT),-0.009
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Land Survey,Land Survey,Value in Millions (VT),3.226549
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,Enforcement & Compliance,Value in Millions (VT),2.686666
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,Land Use Planning,Value in Millions (VT),3.573643
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,Land Valuation,Value in Millions (VT),1.174415
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Department of Lands,Lease Management,Value in Millions (VT),8.171928
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",Valuer General,Land Valuation Services,Value in Millions (VT),1.843882
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Cooperatives and Ni-Vanuatu Business Development,Ni-Vanuatu Business Development,Value in Millions (VT),19.217207
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Manufacturing Industry,Value in Millions (VT),0.499999
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Marketing & Promotion Section,Value in Millions (VT),0.478854
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,"Policy, Planning, Administration & Financial Comprising",Value in Millions (VT),9.773545
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Primary Industries Development,Value in Millions (VT),0.480635
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Industry,Provincial Industrial Extension Services,Value in Millions (VT),2.702189
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,Provincial Tourism Development,Value in Millions (VT),11.117007
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,Tourism Development,Value in Millions (VT),29.049808
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Department of Tourism,Tourism Standards,Value in Millions (VT),1.590087
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business","Ministry of Commerce, Industry and Tourism Cabinet",Portfolio Coordination,Value in Millions (VT),3.072057
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Executive Management,Value in Millions (VT),31.183925
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Food Technology,Value in Millions (VT),9.38406
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Provincial Industrial Extension Services,Value in Millions (VT),4.106521
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Trade Development,Value in Millions (VT),0.08
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",Trade and Ni Vanuatu Business Corporate Service Unit,Vanuatu Intellectual Property Development,Value in Millions (VT),4.993324
2016,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Contribution to Sport & Youth Development,Value in Millions (VT),200.704321
2016,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Executive Management & Support Services,Value in Millions (VT),3.956833
2016,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Provincial Grants Youth Development,Value in Millions (VT),4.894119
2016,By Ministry,Actual,Ministry of Youth Development and Sports,Department of Youth and Sport,Youth & Employment Opportunities,Value in Millions (VT),17.609839
2016,By Ministry,Actual,Ministry of Youth Development and Sports,Ministry of Youth Development and Training,Cabinet Support Services,Value in Millions (VT),2.637934
2016,By Ministry,Actual,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Value in Millions (VT),12.767052
2016,By Ministry,Actual,Prime Ministers Ministry,Government Remuneration Tribunal (GRT),Government Remuneration Tribunal,Value in Millions (VT),7.538946
2016,By Ministry,Actual,Prime Ministers Ministry,Language Services Department,Language Services,Value in Millions (VT),3.728357
2016,By Ministry,Actual,Prime Ministers Ministry,Office of the Government Chief Information Officer (OCGIO),"Information, Communication and Technology Policy and Administration",Value in Millions (VT),227.586845
2016,By Ministry,Actual,Prime Ministers Ministry,Parliamentary Secretariat,Parliamentary Secretariat,Value in Millions (VT),6.428588
2016,By Ministry,Actual,Prime Ministers Ministry,PMO Corporate Service Unit,Corporate Services,Value in Millions (VT),52.746575
2016,By Ministry,Actual,Prime Ministers Ministry,Prime Ministers Cabinet,Administration & Coordination of Government Programmes,Value in Millions (VT),64.146957
2016,By Ministry,Actual,Prime Ministers Ministry,Vanuatu Project Management Unit (VPMU),Strategic Management,Value in Millions (VT),9.941904
2016,By Ministry,Budget,Constitutional Agencies,Citizenship Office,Citizenship Commission,Value in Millions (VT),11.740714
2016,By Ministry,Budget,Constitutional Agencies,Judicial Services Commission,Administrative Support Services,Value in Millions (VT),0.52283
2016,By Ministry,Budget,Constitutional Agencies,Judicial Services Commission,Decision Making,Value in Millions (VT),0.344
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Case Management,Value in Millions (VT),1.020784
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Corporate Services,Value in Millions (VT),11.430179
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Court of Appeal,Value in Millions (VT),19.271848
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Enforcement,Value in Millions (VT),0.738652
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Island Courts,Value in Millions (VT),7.725301
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Judicial Development & Training,Value in Millions (VT),1.809658
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Land Courts,Value in Millions (VT),4.788375
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Magistrate Courts,Value in Millions (VT),5.353631
2016,By Ministry,Budget,Constitutional Agencies,Judiciary,Supreme Court,Value in Millions (VT),18.577521
2016,By Ministry,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,Administration of the National Council of Chiefs,Value in Millions (VT),5.188258
2016,By Ministry,Budget,Constitutional Agencies,Malvatumauri Council of Chiefs,Funds for 14 Islands Council of Chiefs,Value in Millions (VT),5.387
2016,By Ministry,Budget,Constitutional Agencies,National Audit Office,Audit Operations,Value in Millions (VT),1.359863
2016,By Ministry,Budget,Constitutional Agencies,National Audit Office,Corporate Services,Value in Millions (VT),7.65877
2016,By Ministry,Budget,Constitutional Agencies,National Audit Office,"Planning, Policy & Standards",Value in Millions (VT),3.934
2016,By Ministry,Budget,Constitutional Agencies,Office of the Ombudsman,"Planning, Management and Investigations",Value in Millions (VT),7.199426
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee of the Standing Orders,Value in Millions (VT),3.000574
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Economic Policy,Value in Millions (VT),1.874164
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Foreign Affairs & External Trade,Value in Millions (VT),3.000574
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Institutions,Value in Millions (VT),2.696944
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Members of Parliament Ethics & Integrity,Value in Millions (VT),2.464817
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Parliamentary Privileges and Immunities,Value in Millions (VT),2.560437
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on Social Policy,Value in Millions (VT),1.890123
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Committee on the Public Accounts,Value in Millions (VT),4.342007
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Financial Management,Value in Millions (VT),0.228507
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Inter-Parliamentary Relations,Value in Millions (VT),8.999555
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Library and Archives,Value in Millions (VT),0.757705
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Members Allocation,Value in Millions (VT),104.0
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Office of the Leader of the Opposition,Value in Millions (VT),3.084299
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Parliamentary Reporting,Value in Millions (VT),1.104739
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Personnel Administration and Maintenance,Value in Millions (VT),10.30335
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Procedure and Legislative Affairs,Value in Millions (VT),319.528029
2016,By Ministry,Budget,Constitutional Agencies,Parliament,Security and Protocol,Value in Millions (VT),0.40619
2016,By Ministry,Budget,Constitutional Agencies,President of the Republic,Management of the State House and President,Value in Millions (VT),15.473098
2016,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Corporate Services,Value in Millions (VT),1.607213
2016,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Institute Criminal Proceedings,Value in Millions (VT),6.318029
2016,By Ministry,Budget,Constitutional Agencies,Public Prosecutor,Planning and Management,Value in Millions (VT),3.480646
2016,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Corporate Services Unit,Value in Millions (VT),74.475039
2016,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Human Resource Development,Value in Millions (VT),1.0
2016,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Human Resource Management,Value in Millions (VT),1.0
2016,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Performance Improvement,Value in Millions (VT),1.0
2016,By Ministry,Budget,Constitutional Agencies,Public Service Commission,Public Service Legal Unit,Value in Millions (VT),1.0
2016,By Ministry,Budget,Constitutional Agencies,Public Solicitor,Representation,Value in Millions (VT),18.766829
2016,By Ministry,Budget,Constitutional Agencies,State Law Office,Provision of Legal Advice and Services,Value in Millions (VT),17.915387
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",Increase production of commodity crops,Value in Millions (VT),5.450538
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",Payroll & Administration,Value in Millions (VT),1.5
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security,Value in Millions (VT),19.945145
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security SANMA,Value in Millions (VT),42.440562
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products,Value in Millions (VT),5.701907
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products MALAMPA,Value in Millions (VT),0.734249
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products PENAMA,Value in Millions (VT),1.235533
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products SANMA,Value in Millions (VT),1.528141
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products TORBA,Value in Millions (VT),0.850699
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Fisheries Compliance and Licensing,Value in Millions (VT),0.45
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Fisheries Development and Capture,Value in Millions (VT),4.215
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Fisheries Policy and Management,Value in Millions (VT),10.315
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Fisheries Research and Aquaculture,Value in Millions (VT),1.2
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Seafood Verification,Value in Millions (VT),2.839578
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources TAFEA,Value in Millions (VT),16.335147
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources,Value in Millions (VT),16.288167
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,"Supporting institutional capacity, policy, communication and administration",Value in Millions (VT),8.12392
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Livestock,Increase production of commodity crops MALAMPA,Value in Millions (VT),31.064498
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",Corporate Services,Value in Millions (VT),23.160059
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy","Climate Change Adaptation, Geohazards, Meteorology and Energy Cabinet",Portfolio Coordination,Value in Millions (VT),4.181392
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,Energy Management and assessment,Value in Millions (VT),20.326336
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,"Environmental management, research and extension Services",Value in Millions (VT),6.844455
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,National Disaster Management,Value in Millions (VT),6.534317
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,Geo-hazard,Value in Millions (VT),1.0
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,"Weather Forecasting, Monitoring and Research",Value in Millions (VT),33.992993
