Year,Series,Region,Type of Livestock,Type of Crop,Value
2020,Number of private households growing cash crops,Penama,,,8091
2020,Number of private households growing cash crops,Penama,,Kava,6406
2020,Number of private households growing cash crops,Penama,,Coconut,966
2020,Number of private households growing cash crops,Penama,,Cocoa,251
2020,Number of private households growing cash crops,Penama,,Coffee,9
2020,Number of private households growing cash crops,Penama,,Sandalwood,373
2020,Number of private households growing cash crops,Penama,,Pepper,42
2020,Number of private households growing cash crops,Penama,,Vanilla,44
2020,Number of private households growing cash crops,Malampa,,,14347
2020,Number of private households growing cash crops,Malampa,,Kava,4416
2020,Number of private households growing cash crops,Malampa,,Coconut,4218
2020,Number of private households growing cash crops,Malampa,,Cocoa,3256
2020,Number of private households growing cash crops,Malampa,,Coffee,40
2020,Number of private households growing cash crops,Malampa,,Sandalwood,1984
2020,Number of private households growing cash crops,Malampa,,Pepper,120
2020,Number of private households growing cash crops,Malampa,,Vanilla,312
2020,Number of private households growing cash crops,Shefa,,,8084
2020,Number of private households growing cash crops,Shefa,,Kava,2478
2020,Number of private households growing cash crops,Shefa,,Coconut,3145
2020,Number of private households growing cash crops,Shefa,,Cocoa,327
2020,Number of private households growing cash crops,Shefa,,Coffee,100
2020,Number of private households growing cash crops,Shefa,,Sandalwood,1737
2020,Number of private households growing cash crops,Shefa,,Pepper,96
2020,Number of private households growing cash crops,Shefa,,Vanilla,201
2020,Number of private households growing cash crops,Tafea,,,12396
2020,Number of private households growing cash crops,Tafea,,Kava,5242
2020,Number of private households growing cash crops,Tafea,,Coconut,2562
2020,Number of private households growing cash crops,Tafea,,Cocoa,96
2020,Number of private households growing cash crops,Tafea,,Coffee,999
2020,Number of private households growing cash crops,Tafea,,Sandalwood,3142
2020,Number of private households growing cash crops,Tafea,,Pepper,134
2020,Number of private households growing cash crops,Tafea,,Vanilla,220
